🔬 Generando tabla periódica de palitos...
✅ Generados 3101 átomos

==================================================================================================================================
N°,Nombre,Capas,I,O,Longitud,P.Fusion,Desap,Mag,Fuerza,Conduct,React,Radiact
----------------------------------------------------------------------------------------------------------------------------------
1,Atom_001,1,0,0,7,71.1,0,0.00,No,12.0,0.0,0.00
2,Atom_002,1,0,1,7,39.1,0,0.00,No,29.5,0.0,0.00
3,Atom_003,1,0,2,7,-273.0,0,0.00,No,25.3,0.0,0.00
4,Atom_004,1,1,0,7,199.1,1,0.00,No,22.0,285.0,0.00
5,Atom_005,1,1,1,7,167.1,1,0.00,No,39.5,276.3,0.00
6,Atom_006,1,1,2,7,-238.9,1,0.00,No,35.3,267.7,0.00
7,Atom_007,2,0,0,6,136.3,0,0.00,No,24.0,0.0,0.00
8,Atom_008,2,0,1,6,104.3,0,0.00,No,39.0,0.0,0.00
9,Atom_009,2,0,2,6,-273.0,0,0.00,No,54.0,0.0,0.00
10,Atom_010,2,0,3,6,40.3,0,0.00,No,32.0,0.0,0.00
11,Atom_011,2,0,4,6,-273.0,0,0.00,No,24.0,0.0,0.00
12,Atom_012,2,0,5,6,-23.7,0,0.00,No,4.0,0.0,0.00
13,Atom_013,2,0,6,6,-273.0,0,0.00,No,0.0,0.0,0.00
14,Atom_014,2,1,0,6,264.3,1,0.50,No,34.0,265.0,0.00
15,Atom_015,2,1,1,6,232.3,1,0.50,No,49.0,258.0,0.00
16,Atom_016,2,1,2,6,-173.7,0,0.00,No,64.0,251.0,0.00
17,Atom_017,2,1,3,6,168.3,0,0.00,No,42.0,259.0,0.00
18,Atom_018,2,1,4,6,-273.0,0,0.00,No,34.0,257.0,0.00
19,Atom_019,2,1,5,6,104.3,0,0.00,No,14.0,255.0,0.00
20,Atom_020,2,1,6,6,-273.0,0,0.00,No,0.0,295.0,0.00
21,Atom_021,2,2,0,6,392.3,2,0.99,Si,44.0,230.0,0.00
22,Atom_022,2,2,1,6,360.3,2,0.99,Si,59.0,223.0,0.00
23,Atom_023,2,2,2,6,-45.7,1,0.50,No,74.0,216.0,0.00
24,Atom_024,2,2,3,6,296.3,1,0.50,No,52.0,224.0,0.00
25,Atom_025,2,2,4,6,-273.0,0,0.00,No,44.0,222.0,0.00
26,Atom_026,2,2,5,6,232.3,0,0.00,No,24.0,220.0,0.00
27,Atom_027,2,2,6,6,-273.0,0,0.00,No,4.0,260.0,0.00
28,Atom_028,2,3,0,6,520.3,3,1.49,Si,54.0,195.0,0.00
29,Atom_029,2,3,1,6,488.3,3,1.49,Si,69.0,188.0,0.00
30,Atom_030,2,3,2,6,82.3,2,0.99,Si,84.0,181.0,0.00
31,Atom_031,2,3,3,6,424.3,2,0.99,Si,62.0,189.0,0.00
